Charan,nTR,Prab
0709335,05820582,NonStandard
0709335,05610561,NonStandard
0709335,05930593,NonStandard
0709335,06030603,NonStandard
0709335,05400540,NonStandard
0709335,05510551,NonStandard
0709335,05940594,NonStandard
0709335,05720572,NonStandard
0709335,05410541,NonStandard
0709335,06140614,NonStandard
0709335,06040604,NonStandard
0709335,05620562,NonStandard
0709335,05830583,NonStandard
0709335,05440544,NonStandard
0709335,05540554,NonStandard
0709335,06070607,NonStandard
0709335,05650565,NonStandard
0709335,05750575,NonStandard
0709335,06170617,NonStandard
0709335,05860586,NonStandard
0709335,05970597,NonStandard
0709335,05550555,NonStandard
0709335,06180618,NonStandard
0709335,05980598,NonStandard
0709335,05870587,NonStandard
0709335,05760576,NonStandard
0709335,05450545,NonStandard
0709335,05660566,NonStandard
0709335,06080608,NonStandard
0709335,08090809,NonStandard
0709335,08140814,NonStandard
0709335,08240824,NonStandard
0709335,08220822,NonStandard
0709335,08200820,NonStandard
0709335,08160816,NonStandard
0709335,08680868,NonStandard
0709335,08560856,NonStandard
0709335,08590859,NonStandard
0709335,08710871,NonStandard
0709335,08620862,NonStandard
0709335,08650865,NonStandard
0709335,08900890,NonStandard
0709335,08910891,NonStandard
0709335,08880888,NonStandard
0709335,08890889,NonStandard
0709335,08920892,NonStandard
0709335,05910591,NonStandard
0709335,05590559,NonStandard
0709335,05690569,NonStandard
0709335,05800580,NonStandard
0709335,05480548,NonStandard
0709335,06010601,NonStandard
0709335,05380538,NonStandard
0709335,06110611,NonStandard
0193843,36143614,NonStandard
0193843,36483648,NonStandard
0193843,36533653,NonStandard
0193843,36433643,NonStandard
0193843,36273627,NonStandard
0193843,36003600,NonStandard
0193843,36173617,NonStandard
0193843,36093609,NonStandard
0193843,36063606,NonStandard
0193843,36223622,NonStandard
0752420,03270327,NonStandard
0752420,04740474,NonStandard
0752420,04770477,NonStandard
0752420,03310331,NonStandard
0752420,03240324,NonStandard
0752420,03220322,NonStandard
0752420,03210321,NonStandard
0752420,03230323,NonStandard
0713276,05350535,NonStandard
0713276,03040304,NonStandard
0713276,03050305,NonStandard
0713276,05370537,NonStandard
0713276,05380538,NonStandard
0713276,05360536,NonStandard
0713276,03060306,NonStandard
0713276,01440144,NonStandard
0713276,01920192,NonStandard
0713276,01930193,NonStandard
0713276,01940194,NonStandard
0713276,01430143,NonStandard
0713276,01910191,NonStandard
0713276,03930393,NonStandard
0713276,03030303,NonStandard
0713276,01150115,NonStandard
0713276,04660466,NonStandard
0713276,04650465,NonStandard
0713276,04640464,NonStandard
0713276,04630463,NonStandard
0713276,03940394,NonStandard
0713276,03910391,NonStandard
0713276,03920392,NonStandard
0713276,01160116,NonStandard
0713276,04740474,NonStandard
0713276,01520152,NonStandard
0713276,01510151,NonStandard
0713276,04710471,NonStandard
0713276,04720472,NonStandard
0713276,05450545,NonStandard
0713276,03990399,NonStandard
0713276,04020402,NonStandard
0713276,01230123,NonStandard
0713276,03200320,NonStandard
0713276,03210321,NonStandard
0713276,03220322,NonStandard
0713276,04730473,NonStandard
0713276,05460546,NonStandard
0713276,05430543,NonStandard
0713276,04010401,NonStandard
0713276,04000400,NonStandard
0713276,01240124,NonStandard
0713276,02070207,NonStandard
0713276,03190319,NonStandard
0713276,05440544,NonStandard
0713276,02080208,NonStandard
0713276,02090209,NonStandard
0713276,02100210,NonStandard
0713276,03610361,NonStandard
0713276,03600360,NonStandard
0713276,03590359,NonStandard
0713276,03620362,NonStandard
0713276,04800480,NonStandard
0713276,01550155,NonStandard
0713276,01560156,NonStandard
0713276,05540554,NonStandard
0713276,04810481,NonStandard
0713276,05530553,NonStandard
0713276,04790479,NonStandard
0713276,04090409,NonStandard
0713276,04070407,NonStandard
0713276,02180218,NonStandard
0713276,02170217,NonStandard
0713276,05510551,NonStandard
0713276,04820482,NonStandard
0716419,00410041,NonStandard
0716419,00320032,NonStandard
0716419,00330033,NonStandard
0716419,00340034,NonStandard
0716419,00350035,NonStandard
0716419,00400040,NonStandard
0716419,00410041,NonStandard
0716419,00320032,NonStandard
0716419,00330033,NonStandard
0716419,00430043,NonStandard
0716419,00390039,NonStandard
0716419,00420042,NonStandard
0716419,00370037,NonStandard
0716419,00360036,NonStandard
0716419,00380038,NonStandard
0717425,00140014,NonStandard
0717425,00020002,NonStandard
0717425,00060006,NonStandard
0717425,00100010,NonStandard
0717425,00300030,NonStandard
0717425,00180018,NonStandard
0717425,00220022,NonStandard
0717425,00260026,NonStandard
0717425,00210021,NonStandard
0717425,00250025,NonStandard
0717425,00170017,NonStandard
0717425,00050005,NonStandard
0717425,00290029,NonStandard
0717425,00010001,NonStandard
0717425,00090009,NonStandard
0717425,00130013,NonStandard
0717425,00120012,NonStandard
0717425,00240024,NonStandard
0717425,00320032,NonStandard
0717425,00040004,NonStandard
0717425,00080008,NonStandard
0717425,00200020,NonStandard
0717425,00160016,NonStandard
0717425,00280028,NonStandard
0717425,00230023,NonStandard
0717425,00190019,NonStandard
0717425,00270027,NonStandard
0717425,00150015,NonStandard
0717425,00110011,NonStandard
0717425,00310031,NonStandard
0717425,00030003,NonStandard
0717425,00070007,NonStandard
0717714,00270027,NonStandard
0717714,00320032,NonStandard
0717714,00340034,NonStandard
0717714,00360036,NonStandard
0717714,00380038,NonStandard
0717714,00300030,NonStandard
0717714,00290029,NonStandard
0717714,00280028,NonStandard
0717714,00240024,NonStandard
0717714,00230023,NonStandard
0717714,00250025,NonStandard
0717823,00250025,NonStandard
0717823,00240024,NonStandard
0717823,00250025,NonStandard
0717823,00240024,NonStandard
0730109,00400040,NonStandard
0730109,00290029,NonStandard
0730109,00300030,NonStandard
0730109,00310031,NonStandard
0730109,00320032,NonStandard
0730109,00390039,NonStandard
0730109,00330033,NonStandard
0730109,00380038,NonStandard
0730109,00260026,NonStandard
0730109,01960196,NonStandard
0730109,01880188,NonStandard
0730109,00350035,NonStandard
0730109,00340034,NonStandard
0730109,01000100,NonStandard
0730109,00210021,NonStandard
0730109,00220022,NonStandard
0730109,01760176,NonStandard
0730109,00360036,NonStandard
0730109,00980098,NonStandard
0730109,00280028,NonStandard
0730109,00990099,NonStandard
0730109,00270027,NonStandard
0730109,01010101,NonStandard
0730109,00230023,NonStandard
0730109,00240024,NonStandard
0730109,01040104,NonStandard
0730109,01070107,NonStandard
0730109,00250025,NonStandard
0730109,01640164,NonStandard
0730109,00420042,NonStandard
0730109,01770177,NonStandard
0730109,01650165,NonStandard
0730109,01890189,NonStandard
0730109,00690069,NonStandard
0730109,01600160,NonStandard
0730109,00560056,NonStandard
0730109,00550055,NonStandard
0730109,00540054,NonStandard
0730109,00530053,NonStandard
0730109,00520052,NonStandard
0730109,00510051,NonStandard
0730109,00570057,NonStandard
0730109,00470047,NonStandard
0730109,00500050,NonStandard
0730109,00460046,NonStandard
0730109,00450045,NonStandard
0730109,00440044,NonStandard
0730109,01720172,NonStandard
0730109,00430043,NonStandard
0730109,01840184,NonStandard
0730109,01970197,NonStandard
0730109,00490049,NonStandard
0730109,00970097,NonStandard
0730109,00480048,NonStandard
0730109,00580058,NonStandard
0730109,00940094,NonStandard
0730109,00960096,NonStandard
0730109,01030103,NonStandard
0730109,00620062,NonStandard
0730109,00600060,NonStandard
0730109,01060106,NonStandard
0730109,00610061,NonStandard
0730109,00950095,NonStandard
0730109,00770077,NonStandard
0730109,00820082,NonStandard
0730109,00810081,NonStandard
0730109,00830083,NonStandard
0730109,00890089,NonStandard
0730109,00780078,NonStandard
0730109,00710071,NonStandard
0730109,00920092,NonStandard
0730109,00880088,NonStandard
0730109,00790079,NonStandard
0730109,00800080,NonStandard
0730109,00870087,NonStandard
0730109,00900090,NonStandard
0730109,00720072,NonStandard
0730109,00730073,NonStandard
0730109,00910091,NonStandard
0730109,00740074,NonStandard
0730109,00750075,NonStandard
0730109,00760076,NonStandard
0730109,00930093,NonStandard
0730109,00840084,NonStandard
0730109,01020102,NonStandard
0730109,00850085,NonStandard
0730109,01050105,NonStandard
0730109,00700070,NonStandard
0730109,00860086,NonStandard
0730109,01740174,NonStandard
0730109,01860186,NonStandard
0730109,01990199,NonStandard
0730109,01620162,NonStandard
0902132,00660066,NonStandard
0902132,00810081,NonStandard
0902132,00800080,NonStandard
0902132,00520052,NonStandard
0902132,00040004,NonStandard
0902132,00780078,NonStandard
0902132,00050005,NonStandard
0902132,00700070,NonStandard
0902132,00530053,NonStandard
0902132,00790079,NonStandard
0902132,00090009,NonStandard
0902132,00710071,NonStandard
0902132,00100010,NonStandard
0902132,00540054,NonStandard
0902132,00820082,NonStandard
0902132,00850085,NonStandard
0902132,00680068,NonStandard
0902132,00750075,NonStandard
0902132,00150015,NonStandard
0902132,00140014,NonStandard
0902132,00760076,NonStandard
0902132,00730073,NonStandard
0902132,00550055,NonStandard
0902132,00860086,NonStandard
0902132,00200020,NonStandard
0902132,00190019,NonStandard
0902132,00270027,NonStandard
0902132,00570057,NonStandard
0902132,00900090,NonStandard
0902132,00690069,NonStandard
0902132,00560056,NonStandard
0902132,00870087,NonStandard
0902132,00920092,NonStandard
0902132,00600060,NonStandard
0902132,00910091,NonStandard
0902132,00890089,NonStandard
0902132,00580058,NonStandard
0902132,00590059,NonStandard
0902132,00610061,NonStandard
0902132,00880088,NonStandard
0904100,00100010,NonStandard
0904100,00190019,NonStandard
0904100,00200020,NonStandard
0904100,00090009,NonStandard
0906164,00110011,NonStandard
0906164,00630063,NonStandard
0906164,00620062,NonStandard
0906164,00190019,NonStandard
0906164,00640064,NonStandard
0906164,00580058,NonStandard
0906164,00610061,NonStandard
0906164,00650065,NonStandard
0906906,00490049,NonStandard
0906906,00510051,NonStandard
0906906,00500050,NonStandard
0906906,00520052,NonStandard
0919927,00160016,NonStandard
0919927,00080008,NonStandard
0922311,00070007,NonStandard
0922311,00090009,NonStandard
0922311,00080008,NonStandard
0922419,00110011,NonStandard
0922419,00160016,NonStandard
0922419,00140014,NonStandard
0922419,00120012,NonStandard
0922419,00100010,NonStandard
0922419,00090009,NonStandard
0922419,00080008,NonStandard
0922419,00130013,NonStandard
0925167,00090009,NonStandard
0925167,00080008,NonStandard
0925167,00070007,NonStandard
0925167,00100010,NonStandard
0925167,00110011,NonStandard
0925167,00120012,NonStandard
0925387,00060006,NonStandard
0925387,00050005,NonStandard
0925387,00040004,NonStandard
0925681,00030003,NonStandard
0925681,00040004,NonStandard
0925681,00270027,NonStandard
0925681,00280028,NonStandard
0925681,00300030,NonStandard
0925681,00290029,NonStandard
0925681,00050005,NonStandard
0925681,00060006,NonStandard
0925681,00320032,NonStandard
0925681,00310031,NonStandard
0925681,00070007,NonStandard
0925681,00080008,NonStandard
0925681,00010001,NonStandard
0925681,00250025,NonStandard
0925681,00260026,NonStandard
0925681,00020002,NonStandard
0925681,00340034,NonStandard
0925681,00330033,NonStandard
0925681,00100010,NonStandard
0925681,00090009,NonStandard
0925681,00350035,NonStandard
0925681,00120012,NonStandard
0925681,00110011,NonStandard
0925681,00360036,NonStandard
0927475,00100010,NonStandard
0927475,00020002,NonStandard
0927475,00050005,NonStandard
0927475,00130013,NonStandard
0927475,00100010,NonStandard
0927475,00020002,NonStandard
0927475,00050005,NonStandard
0927475,00130013,NonStandard
0927475,00140014,NonStandard
0927475,00070007,NonStandard
0927475,00080008,NonStandard
0927475,00110011,NonStandard
0927475,00140014,NonStandard
0927475,00070007,NonStandard
0927475,00080008,NonStandard
0927475,00110011,NonStandard
0927475,00250025,NonStandard
0927475,00190019,NonStandard
0927475,00210021,NonStandard
0927475,00230023,NonStandard
0927475,00250025,NonStandard
0713276,04100410,NonStandard
0713276,01280128,NonStandard
0713276,04080408,NonStandard
0713276,02160216,NonStandard
0713276,02150215,NonStandard
0713276,01270127,NonStandard
0713276,05520552,NonStandard
0713276,01590159,NonStandard
0713276,01600160,NonStandard
0713276,01610161,NonStandard
0713276,01620162,NonStandard
0713276,04170417,NonStandard
0713276,04160416,NonStandard
0713276,04150415,NonStandard
